,date,bullish,bearish
0,2022-01-01,0,0
1,2022-01-02,0,0
2,2022-01-03,0,0
3,2022-01-04,0,0
4,2022-01-05,545,195
5,2022-01-06,548,170
6,2022-01-07,478,110
7,2022-01-08,103,14
8,2022-01-09,85,14
9,2022-01-10,636,157
10,2022-01-11,654,134
11,2022-01-12,525,117
12,2022-01-13,452,173
13,2022-01-14,490,195
14,2022-01-15,105,22
15,2022-01-16,86,23
16,2022-01-17,114,31
17,2022-01-18,486,165
18,2022-01-19,532,168
19,2022-01-20,596,309
20,2022-01-21,614,271
21,2022-01-22,144,60
22,2022-01-23,127,32
23,2022-01-24,754,305
24,2022-01-25,682,320
25,2022-01-26,765,326
26,2022-01-27,3451,1718
27,2022-01-28,2317,1019
28,2022-01-29,235,69
29,2022-01-30,191,49
30,2022-01-31,662,215
31,2022-02-01,613,130
32,2022-02-02,592,141
33,2022-02-03,704,286
34,2022-02-04,498,151
35,2022-02-05,101,12
36,2022-02-06,92,15
37,2022-02-07,382,122
38,2022-02-08,501,96
39,2022-02-09,523,113
40,2022-02-10,437,222
41,2022-02-11,395,199
42,2022-02-12,85,30
43,2022-02-13,93,24
44,2022-02-14,338,138
45,2022-02-15,413,126
46,2022-02-16,417,161
47,2022-02-17,357,202
48,2022-02-18,408,285
49,2022-02-19,82,34
50,2022-02-20,87,29
51,2022-02-21,154,57
52,2022-02-22,480,180
53,2022-02-23,375,202
54,2022-02-24,567,262
55,2022-02-25,320,119
56,2022-02-26,121,23
57,2022-02-27,103,50
58,2022-02-28,359,120
59,2022-03-01,354,186
60,2022-03-02,408,124
61,2022-03-03,401,142
62,2022-03-04,371,165
63,2022-03-05,84,32
64,2022-03-06,81,29
65,2022-03-07,357,208
66,2022-03-08,643,279
67,2022-03-09,399,109
68,2022-03-10,475,261
69,2022-03-11,521,311
70,2022-03-12,115,44
71,2022-03-13,116,50
72,2022-03-14,582,403
73,2022-03-15,364,179
74,2022-03-16,507,221
75,2022-03-17,419,199
76,2022-03-18,364,147
77,2022-03-19,89,28
78,2022-03-20,96,20
79,2022-03-21,346,139
80,2022-03-22,404,144
81,2022-03-23,627,368
82,2022-03-24,701,368
83,2022-03-25,682,293
84,2022-03-26,114,39
85,2022-03-27,104,37
86,2022-03-28,618,361
87,2022-03-29,660,326
88,2022-03-30,590,329
89,2022-03-31,385,311
90,2022-04-01,336,305
91,2022-04-02,94,44
92,2022-04-03,89,61
93,2022-04-04,442,179
94,2022-04-05,353,246
95,2022-04-06,384,270
96,2022-04-07,368,187
97,2022-04-08,284,168
98,2022-04-09,92,24
99,2022-04-10,69,27
100,2022-04-11,310,187
101,2022-04-12,378,184
102,2022-04-13,375,134
103,2022-04-14,326,154
104,2022-04-15,166,58
105,2022-04-16,117,28
106,2022-04-17,142,53
107,2022-04-18,582,220
108,2022-04-19,667,235
109,2022-04-20,641,313
110,2022-04-21,785,449
111,2022-04-22,756,510
112,2022-04-23,252,56
113,2022-04-24,240,61
114,2022-04-25,951,395
115,2022-04-26,921,531
116,2022-04-27,1158,391
117,2022-04-28,3489,2315
118,2022-04-29,1982,1282
119,2022-04-30,266,70
120,2022-05-01,259,58
121,2022-05-02,1169,438
122,2022-05-03,901,376
123,2022-05-04,1044,344
124,2022-05-05,897,614
125,2022-05-06,884,480
126,2022-05-07,143,46
127,2022-05-08,179,49
128,2022-05-09,994,594
129,2022-05-10,686,418
130,2022-05-11,594,530
131,2022-05-12,1053,633
132,2022-05-13,52,29
133,2022-05-14,0,0
