date,bullish,bearish
2022-01-01,0,0
2022-01-02,0,0
2022-01-03,0,0
2022-01-04,0,0
2022-01-05,336,156
2022-01-06,355,115
2022-01-07,307,80
2022-01-08,49,11
2022-01-09,47,7
2022-01-10,405,128
2022-01-11,451,118
2022-01-12,341,97
2022-01-13,249,136
2022-01-14,299,152
2022-01-15,47,13
2022-01-16,34,16
2022-01-17,40,25
2022-01-18,259,120
2022-01-19,320,93
2022-01-20,379,220
2022-01-21,375,183
2022-01-22,75,43
2022-01-23,55,22
2022-01-24,465,217
2022-01-25,414,243
2022-01-26,528,253
2022-01-27,2354,1350
2022-01-28,1548,762
2022-01-29,112,58
2022-01-30,108,39
2022-01-31,431,153
2022-02-01,399,97
2022-02-02,384,94
2022-02-03,398,204
2022-02-04,271,103
2022-02-05,41,9
2022-02-06,39,10
2022-02-07,207,75
2022-02-08,296,67
2022-02-09,324,85
2022-02-10,282,170
2022-02-11,235,146
2022-02-12,39,22
2022-02-13,33,15
2022-02-14,200,114
2022-02-15,261,113
2022-02-16,272,136
2022-02-17,192,158
2022-02-18,268,228
2022-02-19,38,23
2022-02-20,35,18
2022-02-21,70,37
2022-02-22,306,138
2022-02-23,227,138
2022-02-24,339,170
2022-02-25,174,80
2022-02-26,49,14
2022-02-27,30,26
2022-02-28,197,73
2022-03-01,227,123
2022-03-02,242,77
2022-03-03,204,99
2022-03-04,189,107
2022-03-05,38,26
2022-03-06,37,22
2022-03-07,169,160
2022-03-08,322,209
2022-03-09,242,67
2022-03-10,254,180
2022-03-11,289,237
2022-03-12,62,35
2022-03-13,57,43
2022-03-14,346,295
2022-03-15,230,130
2022-03-16,341,174
2022-03-17,270,171
2022-03-18,208,119
2022-03-19,39,24
2022-03-20,45,15
2022-03-21,185,112
2022-03-22,232,102
2022-03-23,372,276
2022-03-24,468,303
2022-03-25,424,221
2022-03-26,55,27
2022-03-27,57,27
2022-03-28,353,282
2022-03-29,405,245
2022-03-30,328,253
2022-03-31,212,274
2022-04-01,192,264
2022-04-02,41,39
2022-04-03,48,58
2022-04-04,272,152
2022-04-05,201,202
2022-04-06,235,224
2022-04-07,214,149
2022-04-08,149,130
2022-04-09,46,20
2022-04-10,24,25
2022-04-11,185,136
2022-04-12,220,134
2022-04-13,234,99
2022-04-14,190,110
2022-04-15,41,17
2022-04-16,23,14
2022-04-17,39,19
2022-04-18,163,89
2022-04-19,210,93
2022-04-20,162,116
2022-04-21,203,159
2022-04-22,199,183
2022-04-23,54,19
2022-04-24,71,21
2022-04-25,277,148
2022-04-26,264,189
2022-04-27,361,139
2022-04-28,1941,1396
2022-04-29,603,501
2022-04-30,59,21
2022-05-01,72,19
2022-05-02,359,150
2022-05-03,291,142
2022-05-04,337,122
2022-05-05,278,203
2022-05-06,283,161
2022-05-07,45,14
2022-05-08,67,17
2022-05-09,274,210
2022-05-10,221,156
2022-05-11,313,393
2022-05-12,629,472
2022-05-13,36,24
2022-05-14,0,0
