date,bullish,bearish
2022-01-01,35,0
2022-01-02,32,1
2022-01-03,177,25
2022-01-04,188,22
2022-01-05,320,63
2022-01-06,308,83
2022-01-07,226,35
2022-01-08,39,4
2022-01-09,32,4
2022-01-10,248,46
2022-01-11,212,18
2022-01-12,266,18
2022-01-13,385,100
2022-01-14,350,87
2022-01-15,38,3
2022-01-16,27,3
2022-01-17,42,6
2022-01-18,631,97
2022-01-19,421,65
2022-01-20,339,76
2022-01-21,302,87
2022-01-22,98,20
2022-01-23,80,14
2022-01-24,483,121
2022-01-25,3551,1106
2022-01-26,1782,432
2022-01-27,470,115
2022-01-28,270,80
2022-01-29,70,13
2022-01-30,49,11
2022-01-31,284,107
2022-02-01,300,160
2022-02-02,249,171
2022-02-03,216,172
2022-02-04,172,44
2022-02-05,32,1
2022-02-06,44,1
2022-02-07,93,28
2022-02-08,147,23
2022-02-09,180,17
2022-02-10,169,59
2022-02-11,177,74
2022-02-12,34,6
2022-02-13,36,7
2022-02-14,230,82
2022-02-15,286,46
2022-02-16,223,52
2022-02-17,216,78
2022-02-18,264,62
2022-02-19,66,10
2022-02-20,61,12
2022-02-21,104,18
2022-02-22,217,82
2022-02-23,219,74
2022-02-24,445,112
2022-02-25,216,54
2022-02-26,48,16
2022-02-27,66,8
2022-02-28,181,30
2022-03-01,206,35
2022-03-02,178,20
2022-03-03,172,25
2022-03-04,185,46
2022-03-05,44,8
2022-03-06,52,16
2022-03-07,208,76
2022-03-08,275,85
2022-03-09,206,40
2022-03-10,133,74
2022-03-11,141,46
2022-03-12,75,28
2022-03-13,60,14
2022-03-14,150,75
2022-03-15,218,52
2022-03-16,229,56
2022-03-17,174,39
2022-03-18,170,33
2022-03-19,67,6
2022-03-20,72,18
2022-03-21,165,28
2022-03-22,185,28
2022-03-23,197,33
2022-03-24,152,48
2022-03-25,199,32
2022-03-26,65,8
2022-03-27,47,2
2022-03-28,178,30
2022-03-29,310,26
2022-03-30,156,56
2022-03-31,170,77
2022-04-01,85,35
2022-04-02,38,3
2022-04-03,56,4
2022-04-04,154,34
2022-04-05,166,34
2022-04-06,429,98
2022-04-07,230,39
2022-04-08,165,62
2022-04-09,45,8
2022-04-10,40,12
2022-04-11,425,106
2022-04-12,347,77
2022-04-13,321,54
2022-04-14,207,32
2022-04-15,62,10
2022-04-16,45,8
2022-04-17,55,6
2022-04-18,174,32
2022-04-19,247,39
2022-04-20,203,32
2022-04-21,231,93
2022-04-22,301,72
2022-04-23,211,91
2022-04-24,134,36
2022-04-25,509,127
2022-04-26,3278,1095
2022-04-27,746,246
2022-04-28,205,102
2022-04-29,132,50
2022-04-30,33,11
2022-05-01,39,5
2022-05-02,123,40
2022-05-03,105,40
2022-05-04,128,30
2022-05-05,108,51
2022-05-06,103,26
2022-05-07,29,5
2022-05-08,37,8
2022-05-09,134,66
2022-05-10,98,43
2022-05-11,0,0
2022-05-12,0,0
2022-05-13,0,0
2022-05-14,0,0
