date,bullish,bearish
2022-01-01,11,0
2022-01-02,17,1
2022-01-03,100,22
2022-01-04,93,19
2022-01-05,207,48
2022-01-06,180,73
2022-01-07,133,29
2022-01-08,15,3
2022-01-09,13,3
2022-01-10,153,40
2022-01-11,131,13
2022-01-12,161,14
2022-01-13,230,76
2022-01-14,215,63
2022-01-15,22,2
2022-01-16,15,2
2022-01-17,17,1
2022-01-18,349,64
2022-01-19,258,47
2022-01-20,213,52
2022-01-21,178,65
2022-01-22,40,15
2022-01-23,47,13
2022-01-24,287,87
2022-01-25,2446,957
2022-01-26,1190,357
2022-01-27,292,96
2022-01-28,164,61
2022-01-29,27,10
2022-01-30,28,9
2022-01-31,182,95
2022-02-01,193,151
2022-02-02,156,157
2022-02-03,133,154
2022-02-04,111,38
2022-02-05,12,1
2022-02-06,21,1
2022-02-07,54,22
2022-02-08,82,17
2022-02-09,98,12
2022-02-10,109,43
2022-02-11,126,68
2022-02-12,16,4
2022-02-13,20,7
2022-02-14,82,40
2022-02-15,83,18
2022-02-16,72,22
2022-02-17,68,32
2022-02-18,72,25
2022-02-19,20,5
2022-02-20,13,3
2022-02-21,31,6
2022-02-22,57,33
2022-02-23,72,27
2022-02-24,126,43
2022-02-25,59,23
2022-02-26,10,8
2022-02-27,14,2
2022-02-28,50,10
2022-03-01,75,12
2022-03-02,53,8
2022-03-03,49,8
2022-03-04,53,13
2022-03-05,11,3
2022-03-06,12,8
2022-03-07,54,29
2022-03-08,69,33
2022-03-09,63,14
2022-03-10,33,30
2022-03-11,39,18
2022-03-12,16,10
2022-03-13,12,7
2022-03-14,39,31
2022-03-15,64,17
2022-03-16,61,22
2022-03-17,51,13
2022-03-18,50,14
2022-03-19,16,3
2022-03-20,15,8
2022-03-21,41,14
2022-03-22,40,11
2022-03-23,55,14
2022-03-24,55,21
2022-03-25,59,11
2022-03-26,22,2
2022-03-27,11,0
2022-03-28,49,12
2022-03-29,81,11
2022-03-30,44,26
2022-03-31,45,33
2022-04-01,26,16
2022-04-02,10,3
2022-04-03,17,2
2022-04-04,50,14
2022-04-05,37,14
2022-04-06,125,38
2022-04-07,64,16
2022-04-08,41,23
2022-04-09,12,2
2022-04-10,8,5
2022-04-11,137,40
2022-04-12,100,30
2022-04-13,101,19
2022-04-14,68,9
2022-04-15,16,1
2022-04-16,12,5
2022-04-17,11,1
2022-04-18,52,15
2022-04-19,65,13
2022-04-20,56,11
2022-04-21,66,36
2022-04-22,76,25
2022-04-23,45,36
2022-04-24,28,12
2022-04-25,145,37
2022-04-26,1046,437
2022-04-27,408,164
2022-04-28,116,88
2022-04-29,75,33
2022-04-30,10,9
2022-05-01,20,4
2022-05-02,63,35
2022-05-03,62,35
2022-05-04,82,22
2022-05-05,63,27
2022-05-06,57,12
2022-05-07,14,2
2022-05-08,27,3
2022-05-09,77,40
2022-05-10,52,28
2022-05-11,0,0
2022-05-12,0,0
2022-05-13,0,0
2022-05-14,0,0
