date,bullish,bearish
2022-01-01,30,2
2022-01-02,25,2
2022-01-03,250,18
2022-01-04,450,64
2022-01-05,455,101
2022-01-06,300,63
2022-01-07,235,87
2022-01-08,34,7
2022-01-09,36,12
2022-01-10,353,92
2022-01-11,286,41
2022-01-12,240,32
2022-01-13,431,69
2022-01-14,255,54
2022-01-15,27,5
2022-01-16,26,4
2022-01-17,24,4
2022-01-18,156,51
2022-01-19,197,111
2022-01-20,265,139
2022-01-21,305,117
2022-01-22,40,23
2022-01-23,44,10
2022-01-24,391,102
2022-01-25,405,108
2022-01-26,356,49
2022-01-27,257,74
2022-01-28,237,42
2022-01-29,34,1
2022-01-30,19,5
2022-01-31,205,27
2022-02-01,407,23
2022-02-02,297,41
2022-02-03,176,59
2022-02-04,145,38
2022-02-05,23,0
2022-02-06,22,0
2022-02-07,193,22
2022-02-08,305,50
2022-02-09,431,30
2022-02-10,287,35
2022-02-11,342,59
2022-02-12,60,7
2022-02-13,48,8
2022-02-14,234,18
2022-02-15,713,102
2022-02-16,2699,703
2022-02-17,1201,410
2022-02-18,464,157
2022-02-19,37,26
2022-02-20,35,10
2022-02-21,57,38
2022-02-22,256,60
2022-02-23,243,75
2022-02-24,290,87
2022-02-25,431,99
2022-02-26,30,10
2022-02-27,23,9
2022-02-28,267,29
2022-03-01,276,69
2022-03-02,150,28
2022-03-03,116,32
2022-03-04,120,66
2022-03-05,11,22
2022-03-06,40,12
2022-03-07,102,45
2022-03-08,113,36
2022-03-09,130,75
2022-03-10,75,73
2022-03-11,78,38
2022-03-12,12,8
2022-03-13,25,8
2022-03-14,53,29
2022-03-15,143,47
2022-03-16,156,59
2022-03-17,107,35
2022-03-18,246,52
2022-03-19,40,9
2022-03-20,28,7
2022-03-21,155,64
2022-03-22,253,70
2022-03-23,178,55
2022-03-24,730,155
2022-03-25,230,81
2022-03-26,18,6
2022-03-27,29,3
2022-03-28,172,33
2022-03-29,278,23
2022-03-30,150,58
2022-03-31,182,90
2022-04-01,224,82
2022-04-02,17,10
2022-04-03,22,20
2022-04-04,158,53
2022-04-05,134,64
2022-04-06,321,93
2022-04-07,234,90
2022-04-08,293,89
2022-04-09,79,23
2022-04-10,55,19
2022-04-11,350,165
2022-04-12,351,128
2022-04-13,302,63
2022-04-14,315,81
2022-04-15,44,15
2022-04-16,29,14
2022-04-17,48,12
2022-04-18,317,98
2022-04-19,247,71
2022-04-20,231,65
2022-04-21,354,145
2022-04-22,337,154
2022-04-23,40,20
2022-04-24,28,10
2022-04-25,217,68
2022-04-26,238,104
2022-04-27,169,56
2022-04-28,231,55
2022-04-29,110,73
2022-04-30,30,8
2022-05-01,43,10
2022-05-02,163,38
2022-05-03,221,49
2022-05-04,249,39
2022-05-05,151,56
2022-05-06,147,37
2022-05-07,18,9
2022-05-08,18,4
2022-05-09,244,93
2022-05-10,192,80
2022-05-11,150,85
2022-05-12,154,70
2022-05-13,194,56
2022-05-14,0,0
